"Timestamp","TZ","WindDir_Mean (deg)","WindSpd_Mean (km/h)","WindSpd_Min (km/h)","WindSpd_Max (km/h)","Temp_Mean (deg)","RH_Mean (%)","MSLP_Mean (hPa)","Rain_Acc (mm)","Rain_Intensity (mm/h)","Hail_Acc (hits/cm2)","Hail_Intensity (hits/cm2hr)","Solar_Mean (W/m2)"
2018/08/03 00:00:00.005,n,182,0.72,0,1.08,13.7,78.9,1023.02,0,0,0,0,0.041771
2018/08/03 00:01:00.000,n,191,1.8,1.08,2.16,13.6,79,1023.02,0,0,0,0,0.041771
2018/08/03 00:02:00.000,n,180,0.36,0,0.72,13.6,79.1,1023.02,0,0,0,0,0.04612
2018/08/03 00:03:00.000,n,93,1.44,1.44,1.8,13.6,79.3,1022.92,0,0,0,0,0.041771
2018/08/03 00:04:00.000,n,83,1.8,0.72,2.88,13.5,79.6,1022.92,0,0,0,0,0.042648
2018/08/03 00:05:00.007,n,192,0.36,0.36,0.72,13.5,79.5,1022.92,0,0,0,0,0.04528
2018/08/03 00:06:00.004,n,222,1.08,0.72,1.44,13.5,79.5,1022.92,0,0,0,0,0.04528
2018/08/03 00:07:00.002,n,226,0.36,0.36,0.72,13.5,79.5,1022.92,0,0,0,0,0.043526
2018/08/03 00:08:00.000,n,357,0.72,0.36,1.08,13.5,79.5,1022.92,0,0,0,0,0.046997
2018/08/03 00:09:00.013,n,263,0.36,0,0.36,13.4,79.7,1022.92,0,0,0,0,0.046997
2018/08/03 00:10:00.000,n,317,1.08,0.72,1.44,13.4,79.8,1023.02,0,0,0,0,0.04528
2018/08/03 00:11:00.000,n,339,1.44,0.72,2.16,13.4,79.8,1023.02,0,0,0,0,0.04528
2018/08/03 00:12:00.004,n,313,0.72,0.36,0.72,13.4,79.9,1023.02,0,0,0,0,0.043526
2018/08/03 00:13:00.002,n,217,1.08,0.72,1.08,13.4,79.9,1023.02,0,0,0,0,0.040054
2018/08/03 00:14:00.000,n,231,1.08,0.72,1.44,13.4,79.9,1023.02,0,0,0,0,0.041771
2018/08/03 00:15:00.000,n,229,0.36,0.36,0.72,13.4,79.9,1023.02,0,0,0,0,0.042648
2018/08/03 00:16:00.008,n,198,2.88,2.52,3.24,13.4,80.1,1023.02,0,0,0,0,0.041771
2018/08/03 00:17:00.005,n,255,2.52,2.16,2.52,13.4,80.2,1023.12,0,0,0,0,0.040054
