iter	Passed	Remaining
408	4723	6825
409	4739	6819
410	4750	6808
411	4760	6794
412	4772	6783
413	4783	6771
414	4795	6759
415	4807	6749
416	4820	6739
417	4831	6727
418	4843	6716
419	4855	6704
420	4866	6693
421	4877	6680
422	4891	6672
423	4903	6661
424	4914	6649
425	4926	6637
426	4936	6624
427	4948	6612
428	4958	6599
429	4969	6587
430	4980	6575
431	4991	6563
432	5001	6549
433	5012	6537
434	5023	6525
435	5034	6513
436	5045	6500
437	5058	6490
438	5070	6479
439	5081	6467
440	5092	6455
441	5103	6442
442	5113	6429
443	5123	6416
444	5134	6403
445	5144	6390
446	5155	6377
447	5165	6364
448	5176	6352
449	5186	6338
450	5196	6326
451	5207	6313
452	5218	6301
453	5229	6289
454	5240	6276
455	5250	6263
456	5260	6250
457	5271	6237
458	5281	6225
459	5292	6212
460	5302	6199
461	5313	6187
462	5323	6174
463	5334	6162
464	5345	6150
465	5355	6137
466	5367	6126
467	5379	6114
468	5389	6102
469	5399	6089
470	5410	6076
471	5420	6063
472	5430	6050
473	5440	6037
474	5449	6023
475	5459	6010
476	5469	5997
477	5479	5984
478	5490	5971
479	5500	5959
480	5511	5946
481	5522	5934
482	5534	5924
483	5545	5912
484	5555	5899
485	5566	5886
486	5575	5873
487	5585	5860
488	5596	5848
489	5607	5836
490	5617	5823
491	5627	5810
492	5638	5798
493	5648	5785
494	5658	5773
495	5669	5761
496	5681	5749
497	5692	5738
498	5703	5725
499	5713	5713
500	5724	5701
501	5735	5689
502	5745	5676
503	5755	5663
504	5766	5651
505	5776	5639
506	5786	5626
507	5796	5614
508	5806	5601
509	5817	5589
510	5828	5577
511	5840	5566
512	5850	5554
513	5860	5541
514	5871	5529
515	5881	5516
516	5891	5503
517	5902	5492
518	5912	5479
519	5922	5466
520	5933	5454
521	5944	5443
522	5955	5431
523	5965	5419
524	5976	5407
525	5987	5395
526	5998	5384
527	6009	5372
528	6020	5360
529	6030	5347
530	6040	5335
531	6050	5322
532	6060	5310
533	6070	5297
534	6080	5285
535	6091	5273
536	6101	5260
537	6111	5248
538	6123	5237
539	6135	5226
540	6147	5215
541	6158	5204
542	6170	5192
543	6181	5181
544	6193	5170
545	6205	5159
546	6217	5148
547	6228	5137
548	6238	5125
549	6249	5113
550	6260	5101
551	6270	5089
552	6281	5077
553	6292	5065
554	6303	5053
555	6314	5042
556	6327	5032
557	6340	5022
